Name_of_Products,Prices,Offer_Prices,Ratings,Reviews,Benefits,Skintypes,Positions,Offer_Products,Size_of_Products
10% Niacinamide Serum for Face with Rice Water,849,679,4.5,1935,Brightens from 1st use | 2x Instant Hydration | Fades Blemishes             ,All Skin Types,Massive price drop, 20% off ,50 ml
2% Niacinamide & Rice Water SPF 50 PA+++ Hybrid Sunscreen,599,849,4.2,1087,3x Tan Reduction | Brightens Skin | Non-Greasy | No White Cast          ,all skin types,Massive price drop, 18% off ,30 ml
2% Niacinamide & Rice Water Gel Cream,525,479,4.4,972,Oil-free Hydration | Brightens & Fades Blemishes | Dermat-tested             ,all skin types,TRENDING, 12% off ,15 ml
3% Niacinamide Face Toner with Rice Water,555,420,4.3,1155,Brightens Skin | Fades Blemishes | Smoothens Skin Texture | For All Skin Types             ,all skin types,TRENDING, 18% off ,50 g
Cica & Hya-Betaine Vegan Mucin Face Essence With Azuki Bean Extracts & ATP,799,525,4.1,44,"Alcohol-free Toner | Fades Blemishes, Brightens Skin | Smoothens Skin Texture | Non-comedogenic & Dermat-tested             ",all skin types,New launch, 20% off ,50 g
Rice water & 3% Niacinamide sheer-tinted sunscreen,499,336,5,2,"72 hr, 5-layer deep hydration | Soothes & Cools | Lightweight, Quick-Absorbing & Non-Sticky            ", Combination Skin,New launch, 15% off ,50 g
2% Niacinamide & Rice Water Simply Bright Face Wash,299,420,4.4,240,"SPF 50 PA+++ | No White Cast | For Sensitive Skin | Gynaecologist & Pediatrician Trusted | Strengthens Skin Barrier | Lightweight, Non-Oily | Men & Women | 50g             ",Normal,New launch, 20% off ,30 ml
Green Tea & Zinc Super-Matte Sunscreen Gel | SPF 50 PA ++++| SPF for Oily Skin,575,639,4,43,Boosts Glow | Fades Dark Spots | Fights Hyperpigmentation             , dry ,Massive price drop, 20% off ,20 ml
Green Tea Pore Cleansing Face Wash,350,799,4.7,3188,SPF 50 PA++++ | Universal Tint - suitable for most Indian skin tones | Brightens & Evens Skin Tone | Sheer Coverage | Non-oily | All Skin Types | 100% vegan | 50gm             , sensitive skin,Massive price drop, 10% off ,50 g
Oat & 1% Ceramide Barrier Love Face Cream,399,594,4.2,73,Brightens & Softens Skin | Gently Cleanses | Non-drying Formula             ,All skin types,New launch, 20% off ,100 ml
2% Niacinamide & Rice Water SPF 50 PA+++ Hybrid Sunscreen - Pack of 2,798,632,4.2,62,Protects & Controls Oil | Lightweight Gel Texture |  No White Cast  & Non-sticky | With Hybrid Filters              , acne-prone,Massive price drop, 15% off ,100ml
Green Tea Renewed Clarity Night Gel,575,449,4.6,3503,Fights Pimples | Controls Excess Oil | Unclogs Pores             ,all skin types,Massive price drop, 15% off ,50 ml
1% Retinol Face Serum with Bakuchiol,790,499,4.4,332,Dermat Tested | Strengthens Skin Barrier | Provides Lasting Moisturization | Deeply Nourishes             ,Combination,TRENDING, 20% off ,30 ml
Green Tea Oil-Free Moisturizer,470,239,4.6,1449,Brightens Skin | Fades Blemishes | Smoothens Skin Texture | For All Skin Types             , Oily,Massive price drop, 15% off ,20 ml
5% Niacinamide Face Serum With Rice Water,599,299,4.4,722,3x Tan Reduction | Brightens Skin | Non-Greasy | No White Cast             , Acne-Prone Skin,Massive price drop, 20% off ,50 ml
Bright Years Age Specialist Full Set,1125,790,4.7,302,Fights Pimples | Controls Excess Oil | Hydrates Skin             , combination skin,TRENDING  , 15% off ,150ml
Rice water & 3% Niacinamide sheer-tinted sunscreen,499,399,4.8,4,SPF 50 PA++++ | Universal Tint - suitable for most Indian skin tones | Brightens & Evens Skin Tone | Sheer Coverage | Non-oily | All Skin Types | 100% vegan | 50gm,All Skin Types,New launch,20% off,50 g
1% Encapsulated Resveratrol & 7.5% Vitamin C Face Serum,699,499,4.2,27,Fights Aging | Boosts Youthful Glow | Fades Dark Spots,All Skin Types,TRENDING,29% off,30 ml
Plum 1% Salicylic Acid Clearly Gentle Gel Face Wash with Blueberry,325,299,0,0,"Kills acne-causing bacteria in 60 secs | 81% users noticed oil control | Gentle & non-drying | For oily, acne-prone skin | Beginner-friendly | All genders | 100% Vegan | 100 ml",Normal,New launch,8% off,100 ml
Cica & Hyaluronic Acid SPF 50 PA+++ Sunscreen,399,299,4,681,"Safe, New Gen UV Filters | Non-Sticky| Non-Oily ?",All Skin Types,TRENDING  ,25% off,50 g
